MNG,AMP10_SIR,RES,,,AMC30_SIR,RES,,,CRO30_SIR,RES,,,CAZ30_SIR,RES,,,CTX30_SIR,RES,,,FEP30_SIR,RES,,,TZP110_SIR,RES,,,MEM10_SIR,RES,,,F100_SIR,N/A,,W5_SIR,RES,,,CN10_SIR,RES,,,CIP_SIR,RES,,,TET30_SIR,RES,,,AK30_SIR,RES,
38255,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,R,S,2,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38256,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,R,1
38263,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,R,,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,S,R,1
38276,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,NA,,,NA,R,4,,S,S,S0,,R,R,R0,,R,S,2,,S,S,S0
38282,R,R,R0,,S,S,S0,,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38283,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,S,2,,R,S,2,,R,R,R0,,R,S,2
38284,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38287,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,S,2,,R,S,2,,S,S,S0,,R,S,2,,S,S,S0
38288,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0
38289,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,R,1,,S,S,S0,,R,S,2
38292,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,NA,,,NA,R,4,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38296,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38298,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
38303,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
38308,R,R,R0,,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0,,NA,,,NA,R,4,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38341,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,NA,S,4,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,S,S,S0,,S,S,S0
38346,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,R,1,,S,R,1,,R,R,R0,,S,R,1
38355,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,S,S,S0,,S,S,S0
38356,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38357,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,R,R,R0,,S,R,1,,S,S,S0,,S,S,S0
38360,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,S,2,,S,S,S0
38362,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,R,S,2,,S,S,S0,,R,S,2,,S,,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
38363,R,R,R0,,S,R,1,,S,S,S0,,S,S,S0,,S,S,S0,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38401,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
38404,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,S,2,,S,S,S0,,S,R,1,,R,S,2,,S,S,S0
38409,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
38417,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
38427,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,R,S,2,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0
38436,R,R,R0,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,S,R,1,,S,R,1
,116,,,,33,,,,59,,,,35,,,,40,,,,50,,,,16,,,,21,,,,7,,,126,,,,45,,,,61,,,,120,,,,12,,
% Resistant ,77.85234899,,,,22.14765101,,,,39.86486486,,,,23.64864865,,,,26.84563758,,,,34.01360544,,,,10.81081081,,,,14.18918919,,,,4.794520548,,,86.30136986,,,,30.20134228,,,,41.49659864,,,,80.53691275,,,,8.391608392,,
SO%,,,16.10738255,0,0,0,65.77181208,0,0,0,57.43243243,0,0,0,67.56756757,0,0,0,67.7852349,0,0,0,59.18367347,0,0,0,70.94594595,0,0,0,85.81081081,0,0,0,0,0,0,10.2739726,0,0,0,66.44295302,0,0,0,36.05442177,0,0,0,16.10738255,0,0,0,72.72727273
RO%,,,73.82550336,0,0,0,10.06711409,0,0,0,23.64864865,0,0,0,18.24324324,0,0,0,21.47651007,0,0,0,24.48979592,0,0,0,3.378378378,0,0,0,0,0,0,0,0,0,0,80.82191781,0,0,0,20.80536913,0,0,0,37.41496599,0,0,0,65.77181208,0,0,0,2.797202797
1%,,,6.040268456,0,0,0,12.08053691,0,0,0,2.702702703,0,0,0,8.783783784,0,0,0,5.369127517,0,0,0,6.802721088,0,0,0,18.24324324,0,0,0,0,0,0,0,0,0,0,3.424657534,0,0,0,3.355704698,0,0,0,22.44897959,0,0,0,3.355704698,0,0,0,18.88111888
2%,,,4.026845638,0,0,0,12.08053691,0,0,0,16.21621622,0,0,0,5.405405405,0,0,0,5.369127517,0,0,0,9.523809524,0,0,0,7.432432432,0,0,0,14.18918919,0,0,0,0,0,0,5.479452055,0,0,0,9.395973154,0,0,0,4.081632653,0,0,0,14.76510067,0,0,0,5.594405594
4s,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AMP,AMC ,CRO ,CAZ ,CTX ,,TZP ,MEM,W,,CIP ,TET ,AK,,,,,,,,,,,,,,,,,,,,,17 4s ,,,,,,,,,,,,,,,,,,,
,% agreement (NA adjusted),89.93288591,75.83892617,81.08108108,85.81081081,89.26174497,,74.32432432,85.81081081,91.09589041,,73.46938776,81.87919463,75.52447552,,,,,,,,,,,,,,,,,,,R=7 ,,,,,,,,,,,,,,,,,,,,,
,Major Error %,6.040268456,12.08053691,2.702702703,8.783783784,5.369127517,,18.24324324,0,3.424657534,,22.44897959,3.355704698,18.88111888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very Major Error %,4.026845638,12.08053691,16.21621622,5.405405405,5.369127517,,7.432432432,14.18918919,5.479452055,,4.081632653,14.76510067,5.594405594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# of 4s ,0,0,1,1,0,,1,1,3,,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFF classified ,AMP,AMC,CRO,CAZ,CTX,FEP,TZP,MEM,W5,CN,CIP,TET,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK30_SIR,RES,
WGS=S/AST=S,16.10738255,65.77181208,57.43243243,67.56756757,67.7852349,59.18367347,70.94594595,85.81081081,10.2739726,66.44295302,36.05442177,16.10738255,72.72727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGS=R/AST=R,73.82550336,10.06711409,23.64864865,18.24324324,21.47651007,24.48979592,3.378378378,0,80.82191781,20.80536913,37.41496599,65.77181208,2.797202797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Error %,6.040268456,12.08053691,2.702702703,8.783783784,5.369127517,6.802721088,18.24324324,0,3.424657534,3.355704698,22.44897959,3.355704698,18.88111888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very Major Errors,4.026845638,12.08053691,16.21621622,5.405405405,5.369127517,9.523809524,7.432432432,14.18918919,5.479452055,9.395973154,4.081632653,14.76510067,5.594405594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nas,0,0,1,1,0,2,1,1,3,0,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
