MNG,AMP10_SIR,RES,,,AMC30_SIR,RES,,,CRO30_SIR,RES,,,CAZ30_SIR,RES,,,CTX30_SIR,RES,,,FEP30_SIR,RES,,,TZP110_SIR,RES,,,MEM10_SIR,RES,,,F100_SIR,N/A,,W5_SIR,RES,,,CN10_SIR,RES,,,CIP_SIR,RES,,,TET30_SIR,RES,,,AK30_SIR,RES,
37892,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,R,S,2,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0
37893,R,R,R0,,S,R,1,,R,R,R0,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,R,1
37895,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
37898,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0
37901,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,R,R,R0,,S,R,1,,R,S,2,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37902,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
37903,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,S,2,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
37904,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37905,S,R,1,,S,R,1,,R,S,2,,S,S,S0,,S,S,S0,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0
37906,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,NA,S,4
37908,R,R,R0,,S,S,S0,,R,S,2,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,S,R,1,,R,R,R0,,S,S,S0
37911,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,R,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,R,1
